Word	Frequency
(it's	83
impossible	83
cadillac	83
chair	83
read	83
hymn	83
pleasure	83
faces	83
coffee	83
boat	83
famous	83
loser	83
price	83
private	83
(my	83
weight	82
downtown	82
dos	82
mile	82
brain	82
outta	82
color	82
kinda	82
scene	82
10	82
gravity	82
shining	82
noise	82
mighty	82
cryin'	82
ugly	82
riders	82
shoot	81
comfort	81
fame	81
on)	81
lamp	81
taste	81
rocks	81
lane	81
coast	81
its	81
dixie	81
dime	81
spinning	81
hood	81
bar	81
trap	81
twilight	80
bridges	80
tripper	80
december	80
manger	80
laugh	80
life's	80
trees	80
deal	80
trip	80
secrets	80
short	80
daddy's	80
mon	80
underground	79
volare	79
indian	79
video]	79
nine	79
ass	79
problem	79
within	79
splendored	79
mistake	79
vs.	79
front	79
amour	79
mix][*]	79
shoulder	79
[version	79
ended	79
stones	79
witch	78
7	78
[live][#][*]	78
younger	78
saints	78
inner	78
gettin'	78
eyed	78
steady	78
toot,	78
naked	78
vision	78
raining	78
shuffle	78
lament	78
places	78
des	78
deeper	78
gang	78
ghosts	78
everything's	78
hip	78
guns	77
stronger	77
clouds	77
dat	77
destiny	77
bounce	77
islands	77
más	77
lovesick	77
cheatin'	77
nation	77
march	77
needles	77
glocca	77
beneath	77
super	77
madonna	77
josephine	77
thang	77
whisper	76
teenage	76
herald	76
prison	76
awake	76
chattanooga	76
snake	76
scared	76
eat	76
symphony	76
lee	76
teach	76
grapevine	76
warning	76
eres	76
[*][version]	76
hanging	76
rocket	75
mcgee	75
slave	75
ribbons	75
stick	75
dancin'	75
peculiar	75
carolina	75
difference	75
hurricane	74
cheek	74
self	74
blessed	74
boots	74
stuck	74
dreamed	74
heartbeat	74
brothers	74
na	74
velvet	74
circles	74
rap	74
outro	74
wherever	74
siempre	74
i?	74
hello,	74
heart)	74
donna	73
corazon	73
dreamer	73
thin	73
lake	73
twisted	73
treat	73
jam	73
starlight	73
square	73
oh!	73
[bonus	73
history	73
thug	73
ebb	73
long,	73
zone	73
waste	72
lou	72
singin'	72
hay	72
forgotten	72
sight	72
ser	72
trail	72
surrender,	72
day)	72
torn	72
sol	72
isle	72
babylon	72
noon	72
liar	72
june	72
rivers	72
track	71
passion	71
feelings	71
1000	71
(skit)	71
jimmy	71
crowd	71
vie	71
desert	71
keeps	71
turns	71
l.a.	71
(on	71
dig	71
souls	71
ella	71
mexico	71
walks	71
em	71
hunter	70
springtime	70
flight	70
windows	70
tenderly	70
over)	70
apples	70
respect	70
jet	70
n	70
mia	70
tough	70
forgive	70
innocence	70
demo]	70
mrs.	70
bag	70
knowing	70
ending	70
[new	70
longer	69
grown	69
fe	69
changing	69
x	69
generation	69
contigo	69
hurry	69
moments	69
sweetest	69
nightmare	69
farm	69
captain	69
shelter	69
wizard	69
danger	69
saved	69
block	69
babe	69
raise	68
chicago	68
straighten	68
fighting	68
uncle	68
whistle	68
sides	68
moves	68
tongue	68
annie	68
dr.	68
marching	68
+	68
drug	68
das	68
sang	68
dancer	68
drag	67
tracks	67
plan	67
season	67
pure	67
circus	67
backyard	67
coquette	67
salvation	67
slide	67
want)	67
movie	67
cries	67
milk	67
anyway	67
shotgun	67
100	66
county	66
mister	66
brick	66
steal	66
woman's	66
doubt	66
case	66
version][#]	66
fragile	65
looks	65
dem	65
remix	65
satellite	65
punk	65
1]	65
masquerade	65
playing	65
emotion	65
rocky	65
eternity	65
knockin'	64
written	64
main	64
(do	64
[7"	64
survive	64
yonder	64
cottage	64
dame	64
pull	64
horizon	64
craziest	64
c'est	64
time)	64
near	64
matters	64
wreck	64
tales	63
[dvd][live][*]	63
rescue	63
gentlemen	63
buzz	63
strength	63
mission	63
driver	63
cherie	63
religion	63
hills	63
earrings	63
giving	63
daydream	63
ev'ry	63
folks	63
leavin'	63
mellow	63
ole	63
fish	63
sounds	63
waters	63
saving	63
passing	62
victim	62
teardrops	62
troubled	62
pour	62
healing	62
romeo	62
nigga	62
curse	62
medicine	62
crystal	62
à	62
come,	62
cloud	62
caroline	62
quit	62
faded	62
chariot	62
broke	62
bass	62
woman,	62
bleeding	61
saint	61
penthouse	61
haunted	61
amo	61
sleepless	61
cielo	61
disease	61
misty	61
drowning	61
below	61
born?	61
likes	61
plane	61
(of	61
ok	61
weak	61
christ	61
lover's	61
hoy	61
tomorrows	61
search	61
funk	61
shakin'	61
bear	61
susannah	61
tiempo	61
breeze	61
haven't	60
sacrifice	60
infirmary	60
noel	60
jenny	60
basin	60
cream	60
night)	60
pretend	60
trolley	60
button	60
praise	60
mack	60
cradle	60
estoy	60
mal	60
cup	60
rouge	60
go)	60
2]	59
(that	59
shade	59
truck	59
rio	59
qué	59
funeral	59
breathing	59
morra?	59
fire)	59
thoughts	59
